#Network: ../as20graph.txt
#Nodes: 6474	Edges: 26467
#NodeId	Degree	Closeness	Betweennes	EigenVector	NetworkConstraint	ClusteringCoefficient	PageRank	HubScore	AuthorityScore
1	378.000000	0.412267	1370054.403116	0.154773	0.022109	0.012126	0.011690	0.154690	0.154872
3	3.000000	0.300566	667.368578	0.005489	0.344114	0.666667	0.000103	0.005491	0.005487
6	2.000000	0.294094	3835.595106	0.003339	0.507470	0.000000	0.000079	0.003341	0.003337
32	4.000000	0.299634	7222.442412	0.005559	0.274192	0.166667	0.000146	0.005562	0.005557
33	5.000000	0.333625	38.371411	0.018499	0.235614	0.800000	0.000152	0.018517	0.018478
46	3.000000	0.330070	2939.318923	0.014798	0.336386	0.333333	0.000107	0.014817	0.014776
48	4.000000	0.293042	639.892447	0.003825	0.250949	0.666667	0.000152	0.003827	0.003823
63	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
70	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
71	5.000000	0.335215	245.160138	0.018893	0.164336	0.833333	0.000162	0.018912	0.018870
86	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
89	4.000000	0.295490	5024.467033	0.003998	0.193280	0.333333	0.000167	0.004000	0.003996
90	2.000000	0.327068	0.000000	0.014551	0.502668	1.000000	0.000078	0.014569	0.014529
109	9.000000	0.357486	33508.231896	0.028557	0.101884	0.535714	0.000268	0.028583	0.028526
144	3.000000	0.301828	0.000000	0.006551	0.224035	1.000000	0.000107	0.006555	0.006547
157	4.000000	0.337875	0.000000	0.020989	0.189086	1.000000	0.000134	0.021013	0.020960
174	86.000000	0.387628	408602.517826	0.054757	0.039979	0.036134	0.002738	0.054773	0.054739
189	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
199	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
200	8.000000	0.327614	11614.014501	0.015529	0.151921	0.190476	0.000254	0.015546	0.015509
201	3.000000	0.295059	2710.925679	0.003732	0.348011	0.000000	0.000116	0.003734	0.003730
202	3.000000	0.296369	256.173089	0.005490	0.346435	0.666667	0.000100	0.005491	0.005489
209	226.000000	0.380854	633492.147085	0.082299	0.022541	0.012547	0.007404	0.082285	0.082316
226	16.000000	0.307857	18383.444223	0.010811	0.075006	0.123810	0.000489	0.010812	0.010808
286	81.000000	0.390481	657849.764996	0.061353	0.019048	0.086111	0.002419	0.061361	0.061343
293	140.000000	0.407081	765150.753650	0.091018	0.016055	0.061768	0.004104	0.091021	0.091015
297	25.000000	0.371350	65899.379983	0.043091	0.050300	0.260000	0.000786	0.043122	0.043055
600	15.000000	0.357289	20156.981672	0.033856	0.085392	0.351648	0.000445	0.033884	0.033823
625	2.000000	0.294884	4694.710899	0.003481	0.503481	0.000000	0.000097	0.003483	0.003479
668	12.000000	0.346446	10033.899551	0.025834	0.108442	0.606061	0.000359	0.025847	0.025817
701	1459.000000	0.471587	7673081.927137	0.527547	0.010473	0.001927	0.049667	0.526896	0.528317
763	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
1236	3.000000	0.294134	0.000000	0.004726	0.225714	1.000000	0.000108	0.004728	0.004724
1239	751.000000	0.433411	3197483.853184	0.280898	0.022904	0.004739	0.024245	0.280654	0.281187
1311	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
1668	13.000000	0.348479	30641.607297	0.028519	0.108634	0.269231	0.000452	0.028545	0.028488
1673	32.000000	0.358079	176535.609506	0.031387	0.038973	0.056452	0.001145	0.031414	0.031355
1691	8.000000	0.342107	18192.066743	0.020327	0.145531	0.178571	0.000268	0.020350	0.020300
1740	133.000000	0.377655	382682.634521	0.062136	0.030270	0.023126	0.004340	0.062138	0.062134
1746	13.000000	0.366909	13822.420648	0.039109	0.076486	0.636364	0.000394	0.039140	0.039073
1800	30.000000	0.375682	126014.265248	0.042031	0.045755	0.219212	0.000897	0.042058	0.042000
1830	4.000000	0.329130	0.000000	0.015530	0.206902	1.000000	0.000133	0.015547	0.015509
1833	20.000000	0.365686	88609.264530	0.035373	0.065649	0.187135	0.000634	0.035402	0.035339
2024	2.000000	0.294134	0.000000	0.004626	0.507856	1.000000	0.000077	0.004628	0.004623
2041	44.000000	0.374313	101674.156069	0.044409	0.035761	0.080338	0.001373	0.044438	0.044376
2110	11.000000	0.308561	23201.154207	0.005766	0.090071	0.133333	0.000374	0.005768	0.005763
2497	110.000000	0.387002	549491.976670	0.067259	0.020600	0.056405	0.003171	0.067273	0.067242
2511	3.000000	0.292856	2334.346342	0.003370	0.365729	0.000000	0.000116	0.003372	0.003368
2548	252.000000	0.383494	616139.192067	0.096744	0.035002	0.010276	0.008211	0.096709	0.096786
2551	36.000000	0.369000	71478.825955	0.042848	0.051753	0.103175	0.001167	0.042876	0.042816
2637	2.000000	0.292843	1401.634160	0.003349	0.515556	0.000000	0.000082	0.003351	0.003346
2685	33.000000	0.375704	104064.508706	0.045184	0.039195	0.151210	0.001036	0.045213	0.045150
2714	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
2828	128.000000	0.407184	520655.082756	0.098379	0.021415	0.080094	0.003514	0.098372	0.098387
2856	29.000000	0.366369	136593.920690	0.031470	0.048500	0.103175	0.000887	0.031499	0.031435
2914	286.000000	0.415762	1306187.818116	0.124218	0.015339	0.019286	0.008728	0.124185	0.124258
3126	3.000000	0.327068	0.000000	0.014868	0.223408	1.000000	0.000109	0.014886	0.014846
3134	1.000000	0.291932	0.000000	0.003301	1.002639	0.000000	0.000049	0.003303	0.003298
3147	3.000000	0.320271	0.000000	0.011569	0.337261	1.000000	0.000104	0.011577	0.011559
3209	9.000000	0.301533	29719.188912	0.004275	0.144425	0.111111	0.000289	0.004276	0.004273
3257	53.000000	0.367013	283727.467924	0.033157	0.027484	0.022624	0.001706	0.033183	0.033126
3292	24.000000	0.340630	90661.839364	0.017556	0.050196	0.059289	0.000797	0.017569	0.017541
3303	40.000000	0.306226	155031.590464	0.005331	0.047693	0.004049	0.001373	0.005332	0.005330
3356	103.000000	0.383381	325896.399124	0.068057	0.023887	0.051058	0.003148	0.068073	0.068038
3360	4.000000	0.327101	685.317453	0.014918	0.195265	0.333333	0.000133	0.014936	0.014896
3404	11.000000	0.327996	17992.701326	0.015469	0.128712	0.109091	0.000389	0.015480	0.015455
3450	7.000000	0.341709	10159.760645	0.022884	0.130353	0.400000	0.000226	0.022909	0.022855
